Parameter_or_observation,Reported_value,Lower_value,Upper_value,Unit,Statistic_or_uncertainty,Pathway,Source_citation,Source_URL,Source_location,Applicability_limit,Verification_basis,Selection_ID,Source_record,Read_by_PathwayAttribution_v7
Anthropogenic-particle concentration reduction by the rain garden in the three individual sampled storms.,,91.0,98.0,%,"95%, 91%, and 98% for Storms 1, 2, and 3, respectively",Urban stormwater runoff mitigation,"Werbowski et al. (2021), Urban Stormwater Runoff: A Major Pathway for Anthropogenic Particles, Black Rubbery Fragments, and Other Types of Microplastics to Urban Receiving Waters, ACS ES&T Water.",https://doi.org/10.1021/acsestwater.1c00017,"Local full text, Results and Discussion, rain-garden case study (PDF p. 6).","Three storms at one rain garden; anthropogenic particles including microplastics, not a universal treatment efficiency.",Rechecked in this V3 review against local full text,V3-PATH-011,stormwater_rain_garden_particle_removal,no
Mean deposition rate of FTIR-corrected fibrous microplastics in total atmospheric deposition at a central London roof site.,712.0,510.0,925.0,microplastics m^-2 day^-1,SD 162; per-sample range 510-925,Atmospheric deposition,"Wright et al. (2020), Atmospheric microplastic deposition in an urban environment and an evaluation of transport, Environment International 136, 105411.",https://doi.org/10.1016/j.envint.2019.105411,"Local full text/PDF p. 4, Results 3.1; methods pp. 2-3 (FTIR correction and n m^-2 d^-1 standardization).","Central London roof, total wet+dry deposition sampled twice weekly over four weeks; fibres were corrected using FTIR-derived synthetic fraction. Not a universal urban flux.",Rechecked in this V3 review against local full text and the local original PDF,V3-PATH-012,wright_2019_fibrous_mp_deposition,no
Mean deposition rate of FTIR-identified non-fibrous microplastics in the same central London total-deposition study.,59.0,12.0,99.0,microplastics m^-2 day^-1,SD 32; per-sample range 12-99,Atmospheric deposition,"Wright et al. (2020), Atmospheric microplastic deposition in an urban environment and an evaluation of transport, Environment International 136, 105411.",https://doi.org/10.1016/j.envint.2019.105411,"Local full text/PDF p. 4, Results 3.1; methods pp. 2-3.","Central London roof, total wet+dry deposition sampled twice weekly over four weeks; non-fibrous particles were individually FTIR analysed. Not a universal urban flux.",Rechecked in this V3 review against local full text and the local original PDF,V3-PATH-013,wright_2019_nonfibrous_mp_deposition,no
Combined mean deposition rate of synthetic fibres and non-fibrous microplastics in the same central London study.,771.0,,,particles m^-2 day^-1,SD 167,Atmospheric deposition,"Wright et al. (2020), Atmospheric microplastic deposition in an urban environment and an evaluation of transport, Environment International 136, 105411.",https://doi.org/10.1016/j.envint.2019.105411,"Local full text/PDF p. 4, Results 3.1.",Combined total must remain tied to the authors' FTIR correction of fibrous particles and their non-fibrous identification; central London roof study only.,Rechecked in this V3 review against local full text and the local original PDF,V3-PATH-014,wright_2019_total_mp_deposition,no
"Mean wet deposition flux of microplastic fragments (>11 µm) at the Kassel, Central Germany study site.",10.0,,,MP m^-2 day^-1,SD 5,Atmospheric wet deposition,"Kernchen et al. (2024), Atmospheric deposition studies of microplastics in Central Germany, Air Quality, Atmosphere & Health.",https://doi.org/10.1007/s11869-024-01571-w,"Official-version PDF, Results section on wet, dry and total deposition fluxes.","Kassel; eight monthly wet samples May-Dec 2019; µFTIR detection down to 11 µm. The study detected fragments only, no fibres.",Rechecked in this V3 review against the local official-version PDF,V3-PATH-015,kernchen_2022_wet_mp_deposition_flux,no
Mean dry deposition flux of microplastic fragments (>11 µm) at the same Kassel study site.,7.0,,,MP m^-2 day^-1,SD 8,Atmospheric dry deposition,"Kernchen et al. (2024), Atmospheric deposition studies of microplastics in Central Germany, Air Quality, Atmosphere & Health.",https://doi.org/10.1007/s11869-024-01571-w,"Official-version PDF, Results section on wet, dry and total deposition fluxes.","Kassel; twelve monthly dry samples May 2019-Apr 2020; µFTIR detection down to 11 µm. The study detected fragments only, no fibres.",Rechecked in this V3 review against the local official-version PDF,V3-PATH-016,kernchen_2022_dry_mp_deposition_flux,no
Precipitation-weighted mean microplastic-fragment concentration (>11 µm) in wet deposition at Kassel.,7.0,2.0,18.0,MP L^-1,SD 5; monthly range 2-18,Atmospheric wet deposition,"Kernchen et al. (2024), Atmospheric deposition studies of microplastics in Central Germany, Air Quality, Atmosphere & Health.",https://doi.org/10.1007/s11869-024-01571-w,"Official-version PDF, Results section on wet, dry and total deposition fluxes.","Kassel wet deposition only; µFTIR down to 11 µm, fragments only and an incomplete Jan-Apr wet series due to sensor failure.",Rechecked in this V3 review against the local official-version PDF,V3-PATH-017,kernchen_2022_precipitation_mp_concentration,no
"Approximate annual wet deposition of microplastic fragments (>11 µm) at Kassel, reported in the official article.",4300.0,,,MP m^-2 a^-1,Approximately 4300; no uncertainty reported for this annual estimate,Atmospheric wet deposition,"Kernchen et al. (2024), Atmospheric deposition studies of microplastics in Central Germany, Air Quality, Atmosphere & Health.",https://doi.org/10.1007/s11869-024-01571-w,"Official-version PDF, Results section on wet, dry and total deposition fluxes.","An annualized estimate for Kassel wet deposition; eight-month May-Dec 2019 study period. Fragments only, µFTIR >11 µm.",Rechecked in this V3 review against the local official-version PDF,V3-PATH-018,kernchen_2022_annual_wet_mp_deposition,no
"Polyester microfiber release per wash, tested polyester textiles (n=18)",161,,,mg/kg textile/wash,SD 173,Laundry emission / filtration,"Vassilenko et al. (2021), Domestic laundry and microfiber pollution: Exploring fiber shedding from consumer apparel textiles, PLoS ONE.",https://doi.org/10.1371/journal.pone.0250346,PDF pp. 1 and 8; material-type results,Tested textiles and washing/filter conditions only; not a universal emission or removal coefficient. Not read by PathwayAttribution v7.,Rechecked against local primary-paper PDF in this review.,V3-PATH-019,polyester_shedding,no
"Nylon microfiber release per wash, tested nylon textiles (n=9)",27,,,mg/kg textile/wash,SD 14,Laundry emission / filtration,"Vassilenko et al. (2021), Domestic laundry and microfiber pollution: Exploring fiber shedding from consumer apparel textiles, PLoS ONE.",https://doi.org/10.1371/journal.pone.0250346,PDF pp. 1 and 8; material-type results,Tested textiles and washing/filter conditions only; not a universal emission or removal coefficient. Not read by PathwayAttribution v7.,Rechecked against local primary-paper PDF in this review.,V3-PATH-020,nylon_shedding,no
Polyester fiber mass retained by lint filters with 50–200 um mesh,,88.2,89.9,% by mass,Reported range across filter conditions,Laundry emission / filtration,"Vassilenko et al. (2021), Domestic laundry and microfiber pollution: Exploring fiber shedding from consumer apparel textiles, PLoS ONE.",https://doi.org/10.1371/journal.pone.0250346,PDF p. 12; testing lint-trap efficiency,Tested textiles and washing/filter conditions only; not a universal emission or removal coefficient. Not read by PathwayAttribution v7.,Rechecked against local primary-paper PDF in this review.,V3-PATH-021,polyester_filter_50_200,no
"Polyester fiber mass retained by lint filter with 1,588 um mesh",41.2,,,% by mass,Reported retention,Laundry emission / filtration,"Vassilenko et al. (2021), Domestic laundry and microfiber pollution: Exploring fiber shedding from consumer apparel textiles, PLoS ONE.",https://doi.org/10.1371/journal.pone.0250346,PDF p. 12; testing lint-trap efficiency,Tested textiles and washing/filter conditions only; not a universal emission or removal coefficient. Not read by PathwayAttribution v7.,Rechecked against local primary-paper PDF in this review.,V3-PATH-022,polyester_filter_1588,no
Nylon fiber mass retained by 50 and 100 um mesh filters,46,,,% by mass,Reported retention; grouped mesh conditions in text,Laundry emission / filtration,"Vassilenko et al. (2021), Domestic laundry and microfiber pollution: Exploring fiber shedding from consumer apparel textiles, PLoS ONE.",https://doi.org/10.1371/journal.pone.0250346,PDF pp. 12–13; testing lint-trap efficiency,Tested textiles and washing/filter conditions only; not a universal emission or removal coefficient. Not read by PathwayAttribution v7.,Rechecked against local primary-paper PDF in this review.,V3-PATH-023,nylon_filter_50_100,no
Nylon fiber mass retained by 150 um mesh filter,19.4,,,% by mass,Reported retention,Laundry emission / filtration,"Vassilenko et al. (2021), Domestic laundry and microfiber pollution: Exploring fiber shedding from consumer apparel textiles, PLoS ONE.",https://doi.org/10.1371/journal.pone.0250346,PDF p. 13; testing lint-trap efficiency,Tested textiles and washing/filter conditions only; not a universal emission or removal coefficient. Not read by PathwayAttribution v7.,Rechecked against local primary-paper PDF in this review.,V3-PATH-024,nylon_filter_150,no
"JC08-cycle estimated emission factor for the tested tire, airborne particles below 2.5 um",3.7,,,mg/(km vehicle),Rounded abstract/conclusion estimate (3.73 in Results),Road tire wear,"Tonegawa and Sasaki (2021), Development of Tire-Wear Particle Emission Measurements for Passenger Vehicles, Emission Control Science and Technology.",https://doi.org/10.1007/s40825-020-00181-z,"PDF pp. 1, 5 and 7; Section 3.3",Test-tire and driving-cycle model estimate; not total tread loss or a universal vehicle fleet factor. Not read by PathwayAttribution v7.,Rechecked against local primary-paper PDF in this review.,V3-PATH-025,tire_jc08,no
Airborne PM2.5 tire-wear particle mass relative to tread-wear mass,3.3,,,%,Approximate ratio under the highest-generation test condition,Road tire wear,"Tonegawa and Sasaki (2021), Development of Tire-Wear Particle Emission Measurements for Passenger Vehicles, Emission Control Science and Technology.",https://doi.org/10.1007/s40825-020-00181-z,PDF pp. 1 and 6; Section 3.4,Highest-generation test condition; not a mean across vehicles or a universal environmental release fraction. Not read by PathwayAttribution v7.,Rechecked against local primary-paper PDF in this review.,V3-PATH-026,tire_ratio_pm2.5,no
Airborne PM10 tire-wear particle mass relative to tread-wear mass,3.7,,,%,Approximate ratio under the highest-generation test condition,Road tire wear,"Tonegawa and Sasaki (2021), Development of Tire-Wear Particle Emission Measurements for Passenger Vehicles, Emission Control Science and Technology.",https://doi.org/10.1007/s40825-020-00181-z,PDF pp. 1 and 6; Section 3.4,Highest-generation test condition; not a mean across vehicles or a universal environmental release fraction. Not read by PathwayAttribution v7.,Rechecked against local primary-paper PDF in this review.,V3-PATH-027,tire_ratio_pm10,no
