Metric,Lower_value,Upper_value,Unit,Currency,Geography,Context,Scope,Source_title,Source_URL,Source_location,Source_year,Year_in_source_dataset,Price_year_status,Verification_basis,Record_ID,Record_origin
MBBR + tertiary municipal wastewater,10.1,14.3,INR/m3,INR,Full-scale MBBR municipal WWTPs in India,Article reports treatment cost Rs 10.10-14.30/m3 and representative Rs 12.50 +/-20%; energy 0.6-0.8 kWh/m3.,,Techno-Economic Assessment of Full Scale MBBRs Treating Municipal Wastewater in India,https://neptjournal.com/upload-images/NL-58-32-%2830%29B-3339.pdf,"PDF article tables/results; previously extracted text lines 224-225, 346, 350, 354",2016,2016,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_INDIA_MBBR_TERTIARY,39-row core
secondary-to-tertiary upgrade incremental O&M,0.22,1.03,yuan/m3,CNY,Nine WWTPs in southern China,Table 16 lists added O&M costs for plants 1#-9#; range is 0.22-1.03 yuan/m3.,,Technical and economic indicators for upgrading municipal wastewater treatment plants [translated title],https://www.jsjs1982.com/portal/article/index.html?id=3229 ; https://www.jsjs1982.com/upload/portal/20240802/90a81325b7d45d391cb650260b6278d2.pdf ; https://doi.org/10.15890/j.cnki.jsjs.2024.07.024,Table 16,2024,2024,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_CHINA_SC9_UPGRADE_OM,39-row core
UASB / Cliza WWTP,0.29,0.29,USD/m3,USD,UASB / Cliza WWTP,Article reports total treatment cost of 0.29 USD/m3 for Cliza and 0.40 USD/m3 for Tolata.,,Evaluacion del costo anual equivalente de las plantas de tratamiento de aguas residuales de los municipios de Cliza y Tolata,https://www1.upb.edu/revista-investigacion-desarrollo/index.php/id/article/view/199/512,Article cost results / annual-equivalent-cost section,2019,2019,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_BOLIVIA_CLIZA_UASB,39-row core
UASB / Tolata WWTP,0.4,0.4,USD/m3,USD,UASB / Tolata WWTP,Article reports total treatment cost of 0.29 USD/m3 for Cliza and 0.40 USD/m3 for Tolata.,,Evaluacion del costo anual equivalente de las plantas de tratamiento de aguas residuales de los municipios de Cliza y Tolata,https://www1.upb.edu/revista-investigacion-desarrollo/index.php/id/article/view/199/512,Article cost results / annual-equivalent-cost section,2019,2019,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_BOLIVIA_TOLATA_UASB,39-row core
typical U.S. municipal WWTP operating cost,4000000.0,4000000.0,"USD/year operating cost; 100,000 m3/day wastewater volume",USD,"Typical U.S. 100,000 m3/day plant","The slide describes the 'typical' U.S. 100,000 m3/day plant with wastewater volume 100,000 m3/day and annual operating cost $4 million/year.",Derived operating unit cost; useful as high-income anchor but not a plant-specific ex-post accounting record.,Giving Wastewater a Boost with Breakthroughs in Secondary Treatment,https://www.energy.gov/sites/prod/files/2015/10/f27/Giles_Washington_DC_April_2015_WW.pdf,Slide/page 13,2015,2015,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_US_TYPICAL_OPERATING_COST_DOE,39-row core
municipal WWTP O&M; aerobic biological treatment,0.27,0.27,EUR/m3 treated wastewater; O&M cost,EUR,Zepce municipality; Karaula WWTP,Table 1 reports Karaula WWTP designed capacity 6000 PE and average inflow 1700 m3/d; Table 4 reports O&M cost 0.27 EUR/m3.,O&M-only cost; keep separate from capital/full lifecycle interpretation.,Feasibility of applying sustainable and innovative technologies and approaches in wastewater treatment in small size settlements in Danube region,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC115606/sfp_report_final.pdf,"Zepce case study, Table 1 and Table 4",2018,2017,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_BIH_ZEPCE_OM_JRC_2017,39-row core
municipal WWTP O&M; sequencing batch reactor,0.28,0.28,EUR/m3 treated wastewater; O&M cost,EUR,Odzak municipality,Table 1 reports average daily quantity of purified wastewater 470 m3; Table 3 reports total O&M cost 0.28 EUR/m3.,O&M-only cost; keep separate from capital/full lifecycle interpretation.,Feasibility of applying sustainable and innovative technologies and approaches in wastewater treatment in small size settlements in Danube region,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC115606/sfp_report_final.pdf,"Odzak case study, Table 1 and Table 3",2018,2017,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_BIH_ODZAK_OM_JRC_2017,39-row core
municipal WWTP O&M; 18-plant sample,0.14,0.27,EUR/m3 treated water; operation and maintenance,EUR,Jaen province; 18 municipal wastewater treatment plants,"Table 5 reports operation and maintenance costs per m3 treated water: average 0.25 EUR/m3, minimum 0.14, maximum 0.27.",O&M-only empirical sample; no m3/day weights available from the extracted table.,Cost of Urban Wastewater Treatment and Ecotaxes: Evidence from Municipalities in Southern Europe,https://www.mdpi.com/2073-4441/11/3/423/pdf,Table 5,2019,2017,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_SPAIN_JAEN_OM_WATER2019,39-row core
tilapia pond production cost / breakeven,72.0,77.0,KSh/kg live tilapia,KES,Kenya 1-ha pond enterprise budget,Budget reports breakeven price above total variable cost KSh72/kg and above total cost KSh77/kg.,"Breakeven price is a cost-equivalent production benchmark, not sale price.",Tilapia Farm Business Management and Economics: A Training Manual,https://extension.rwfm.tamu.edu/wp-content/uploads/sites/8/2013/09/Tilapia-Farm-Business-Management-and-Economics-A-Training-Manual.pdf ; https://thefishsite.com/articles/tilapia-farm-business-management-and-economics-a-training-manual,"PDF enterprise budget text, lines 439-457 in prior extraction",2005.0,2005.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_KENYA_TILAPIA_POND_BREAKEVEN,39-row core
tilapia farming breakeven by scale,77.33,81.56,Tk/kg fish,BDT,Bangladesh tilapia farms,Break-even prices are Tk77.33/kg for large farmers and Tk81.56/kg for small farmers.,Currency year set to 2019 survey/near-period rate; use as approximate cross-country comparison.,Profitability assessment and efficiency analysis of tilapia farming in Bangladesh,https://ageconsearch.umn.edu/record/324678/files/20%29%20IJARIT%200381.pdf,Article table / break-even analysis section,2022.0,2019.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_BANGLADESH_TILAPIA_BREAKEVEN,39-row core
small-scale outdoor pond tilapia,0.76,0.76,USD/lb harvested fish,USD,Florida outdoor pond tilapia,Table 5 reports cost per pound harvested of $0.76/lb.,,"A Preliminary Assessment of the Costs and Earnings of Commercial, Small-Scale, Outdoor Pond Culture of Tilapia in Florida",https://ufdcimages.uflib.ufl.edu/IR/00/00/18/64/00001/FE21000.pdf,Table 5,2000.0,2000.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_US_FLORIDA_TILAPIA_POND_COST,39-row core
small tilapia cage operation,2.29,2.29,USD/kg fish,USD,"Lake Victoria cage aquaculture, Uganda","Publication reports cost needed to produce 1 kg of tilapia: USD2.29, USD2.00 and USD1.82 for small, medium and large cage operations.",,Economics of commercial tilapia cage aquaculture in Uganda: How economies of scale affect profitability,https://www.grocentre.is/ftp/moya/gro/index/publication/economics-of-commercial-tilapia-cage-aquaculture-in-uganda-how-economies-of-scale-affect-profitability ; https://www.grocentre.is/static/gro/publication/1786/document/Nazziwa21prf.pdf,GRÓ publication page lines 72-75 and PDF abstract/results,2021.0,2021.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_UGANDA_CAGE_SMALL_COST,39-row core
medium tilapia cage operation,2.0,2.0,USD/kg fish,USD,"Lake Victoria cage aquaculture, Uganda","Publication reports cost needed to produce 1 kg of tilapia: USD2.29, USD2.00 and USD1.82 for small, medium and large cage operations.",,Economics of commercial tilapia cage aquaculture in Uganda: How economies of scale affect profitability,https://www.grocentre.is/ftp/moya/gro/index/publication/economics-of-commercial-tilapia-cage-aquaculture-in-uganda-how-economies-of-scale-affect-profitability ; https://www.grocentre.is/static/gro/publication/1786/document/Nazziwa21prf.pdf,GRÓ publication page lines 72-75 and PDF abstract/results,2021.0,2021.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_UGANDA_CAGE_MEDIUM_COST,39-row core
large tilapia cage operation,1.82,1.82,USD/kg fish,USD,"Lake Victoria cage aquaculture, Uganda","Publication reports cost needed to produce 1 kg of tilapia: USD2.29, USD2.00 and USD1.82 for small, medium and large cage operations.",,Economics of commercial tilapia cage aquaculture in Uganda: How economies of scale affect profitability,https://www.grocentre.is/ftp/moya/gro/index/publication/economics-of-commercial-tilapia-cage-aquaculture-in-uganda-how-economies-of-scale-affect-profitability ; https://www.grocentre.is/static/gro/publication/1786/document/Nazziwa21prf.pdf,GRÓ publication page lines 72-75 and PDF abstract/results,2021.0,2021.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_UGANDA_CAGE_LARGE_COST,39-row core
"carp polyculture, intensive feeding",0.73,0.73,USD/kg fish break-even price,USD,Jiangsu province carp polyculture case study,"Summary reports 20 replicate farms per feeding practice; break-even prices were US$0.73, US$0.79 and US$0.61/kg for intensive, semi-intensive and traditional farms, with break-even production 11,085, 6,891 and 4,132 kg/ha.",Break-even production is used as a production-scale weight proxy; product form is carp polyculture fish.,Economics of aquaculture feeding practices: China,https://www.fao.org/4/a1456e/a1456e03a.pdf,"Summary, pp. 65-66; Table 2 sample sizes; Table 8 pond areas",2007.0,2005.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_CHINA_CARP_INTENSIVE_FAO,39-row core
"carp polyculture, semi-intensive feeding",0.79,0.79,USD/kg fish break-even price,USD,Jiangsu province carp polyculture case study,"Summary reports 20 replicate farms per feeding practice; break-even prices were US$0.73, US$0.79 and US$0.61/kg for intensive, semi-intensive and traditional farms, with break-even production 11,085, 6,891 and 4,132 kg/ha.",Break-even production is used as a production-scale weight proxy; product form is carp polyculture fish.,Economics of aquaculture feeding practices: China,https://www.fao.org/4/a1456e/a1456e03a.pdf,"Summary, pp. 65-66; Table 2 sample sizes; Table 8 pond areas",2007.0,2005.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_CHINA_CARP_SEMI_INTENSIVE_FAO,39-row core
"carp polyculture, traditional feeding",0.61,0.61,USD/kg fish break-even price,USD,Jiangsu province carp polyculture case study,"Summary reports 20 replicate farms per feeding practice; break-even prices were US$0.73, US$0.79 and US$0.61/kg for intensive, semi-intensive and traditional farms, with break-even production 11,085, 6,891 and 4,132 kg/ha.",Break-even production is used as a production-scale weight proxy; product form is carp polyculture fish.,Economics of aquaculture feeding practices: China,https://www.fao.org/4/a1456e/a1456e03a.pdf,"Summary, pp. 65-66; Table 2 sample sizes; Table 8 pond areas",2007.0,2005.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_CHINA_CARP_TRADITIONAL_FAO,39-row core
pangasius pond aquaculture production cost,10520.0,10520.0,VND/kg harvested pangasius; total costs per output,VND,Mekong Delta pangasius farms; 2006 survey,"Table 2 reports 2006 output 130.62 ton and total costs per output 10,520.00 VND/kg over one production cycle; footnote reports 1 USD = 15,972 VND in 2006.",Weight is a production-cycle scale proxy; it is not national annual production. DOI: https://doi.org/10.5950/0738-1360-25.4.373.,The Influence of Changes in the Market Environment on Economic Production Characteristics of Pangasius Farming in the Mekong Delta (Vietnam),https://www.vliz.be/imisdocs/publications/231379.pdf,Table 2 and exchange-rate footnote,2010.0,2006.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_VIETNAM_PANGASIUS_COST_BINH2010,39-row core
semi-intensive freshwater fish pond production cost,72.5,72.5,INR/kg fish; cost of production,INR,"Gorakhpur district, Uttar Pradesh",Table 1 reports cost of production Rs.72.50/Kg; Table 2 reports yield 4737.18 kg/ha.,Currency year set to 2019 based on the study period 2019-20.,An Economic Analysis of Semi-Intensive Culture of Freshwater Fish in Gorakhpur District of Uttar Pradesh,https://ageconsearch.umn.edu/record/345216/files/An%20Economic%20Analysis%20of%20Semi-Intensive.pdf,Table 1 and Table 2,2024.0,2019.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_INDIA_CARP_POND_COST_2019,39-row core
salmon and rainbow trout production cost,59.97,59.97,NOK/kg produced fish; production costs per kg,NOK,Norwegian aquaculture companies; ordinary grow-out production,"Table G.2 reports average production 16,225 tonnes; Table G.3 reports production costs per kg produced fish 59.97 NOK/kg.",Large-scale salmon/trout record strongly affects weighted high-income mean; interpret source-level weighting cautiously.,Profitability survey on the production of salmon and rainbow trout 2024,https://www.fiskeridir.no/statistikk-tall-og-analyse/data-og-statistikk-om-akvakultur/statistiske-publikasjon-innen-akvakultur/_/attachment/inline/3283f78a-bfa7-4c96-a2f7-8b25bf2a2219%3Acec2c68b4b9a64c5a97b917e1513a42c7a4d1ab3/rap-lonnsomhet-akvakultur-2024.pdf,Tables G.2 and G.3,2025.0,2024.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_NORWAY_SALMON_TROUT_COST_2024,39-row core
catfish pond enterprise budget; beginner 5-acre scenario,0.74,0.74,USD/lb fish; break-even production cost,USD,"Texas, 5-acre catfish pond budget","Table 1 reports beginner producer 5-acre total production 17,500 lb and break-even production costs $0.74/lb.","Budget scenario, not a measured farm survey.",Texas Catfish Production in Ponds,https://extension.rwfm.tamu.edu/wp-content/uploads/sites/8/2013/09/Texas-Catfish-Production-in-Ponds.pdf,Table 1,2005.0,2005.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_US_TEXAS_CATFISH_BEGINNER_2005,39-row core
catfish pond enterprise budget; commercial 100-acre scenario,0.65,0.65,USD/lb fish; break-even production cost,USD,"Texas, 100-acre catfish pond budget","Table 1 reports commercial producer 100-acre total production 450,000 lb and break-even production costs $0.65/lb.","Budget scenario, not a measured farm survey.",Texas Catfish Production in Ponds,https://extension.rwfm.tamu.edu/wp-content/uploads/sites/8/2013/09/Texas-Catfish-Production-in-Ponds.pdf,Table 1,2005.0,2005.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_US_TEXAS_CATFISH_COMMERCIAL_2005,39-row core
livelihood transition subsidy,1940.0,1940.0,RMB/person-month,CNY,"Taihu, Suzhou","Notice lists 6912 RMB/mu water-occupation compensation, 6500 RMB/mu-year for two years, 4000 RMB/mu facilities compensation; livelihood subsidy is 1940 RMB/person-month; rewards are 750+750 RMB/mu.",,Announcement on compensation for removal of net enclosures in Lake Taihu (Su Fu Gong [2018] No. 4) [translated title],https://www.suzhou.gov.cn/szsrmzf/zfwj/201805/LQJZ9KC3GM25LQRTJA6R74K02KZKWB9M.shtml,"Compensation-standard section, lines 79-110 in web extraction",2018.0,2018.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",FISHERY_TAIHU_LIVELIHOOD_SUBSIDY,39-row core
fisher income-support after Atlantic groundfish closure; minimum weekly benefit,211.0,211.0,CAD/person-week income support,CAD,Atlantic Canada; The Atlantic Groundfish Strategy,"Report states TAGS income-support benefits ranged from CAD 211 to CAD 382 per week, depending on previous fishing income and household circumstances.",Minimum benefit point; paired max row records the upper benefit.,The Atlantic Groundfish Strategy: Review of the Income Support and Training Components,https://publications.gc.ca/collections/collection_2017/edsc-esdc/MP43-358-1998-eng.pdf,Program income-support description; benefit range,1998.0,1994.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",LIVELIHOOD_CANADA_TAGS_MIN_1994,39-row core
fisher income-support after Atlantic groundfish closure; maximum weekly benefit,382.0,382.0,CAD/person-week income support,CAD,Atlantic Canada; The Atlantic Groundfish Strategy,"Report states TAGS income-support benefits ranged from CAD 211 to CAD 382 per week, depending on previous fishing income and household circumstances.",Maximum benefit point; use range endpoints rather than a single Canada mean if plotting source-level uncertainty.,The Atlantic Groundfish Strategy: Review of the Income Support and Training Components,https://publications.gc.ca/collections/collection_2017/edsc-esdc/MP43-358-1998-eng.pdf,Program income-support description; benefit range,1998.0,1994.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",LIVELIHOOD_CANADA_TAGS_MAX_1994,39-row core
closed-season fisher income support; Seguro-Defeso,1212.0,1212.0,BRL/person-month; one monthly minimum wage,BRL,Brazil artisanal fishers during legally defined closed seasons,"Government programme page states the Seguro-Defeso value corresponds to one monthly minimum wage paid throughout the closed season; Previdencia notice states the 2022 national minimum wage was BRL 1,212.",Uses statutory benefit rule and official minimum wage amount; recipient counts are not used as weights.,Seguro-Defeso closed-season fisher benefit,https://www.gov.br/trabalho-e-emprego/pt-br/acesso-a-informacao/acoes-e-programas/programas-projetos-acoes-obras-e-atividades/seguro-desemprego-do-pescador-artesanal; https://www.gov.br/inss/pt-br/noticias/beneficios-acima-do-minimo-tem-reajuste-de-10-16,Programme page benefit-value statement; 2022 national minimum-wage notice,2022.0,2022.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",LIVELIHOOD_BRAZIL_SEGURO_DEFESO_2022,39-row core
marine fishing-ban family relief assistance,5000.0,5000.0,INR/family/event; fishing-ban period,INR,Tamil Nadu marine fishermen families during annual fishing ban,"Scheme page gives funding pattern/unit cost of Rs. 5,000 per marine fishermen family during the fishing ban period.",Recipient denominator is family rather than individual fisher; retained because the requested unit is person-month/fisher support and the programme pays registered fishermen families.,Relief assistance to Marine Fishermen families during fishing ban period,https://www.fisheries.tn.gov.in/MARINE-FISHERFOLK-WELFARE-SCHEMES/Relief-assistance-to-Marine-Fishermen-families-during-fishing-ban-period/,"Scheme page, funding pattern",2024.0,2024.0,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",LIVELIHOOD_INDIA_TN_BAN_RELIEF_2024,39-row core
in-kind rice compensation during hilsa fishing bans,40.0,40.0,kg rice/household/month,in-kind rice,Bangladesh registered hilsa fishers during sanctuary/ban periods,Programme descriptions report 40 kg rice per registered fisher household per month during hilsa fishing-ban periods.,"Do not mix with USD/person-month unless a separate, defensible rice-price source and year is selected. Monetized using USDA FAS Bangladesh 2019 retail rice price of USD 0.47/kg; use as sensitivity/annotation.",Hilsa fishery management compensation descriptions,https://www.sciencedirect.com/science/article/pii/S0308597X17302671,Hilsa sanctuary compensation description,,,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",LIVELIHOOD_BANGLADESH_HILSA_RICE_40KG,39-row core
Jiujiang four urban WWTP efficiency scenarios,0.42,1.04,RMB/m3,,"Jiujiang, China",0.42-1.04,This is not artificial-wetland energy consumption; it is a real Jiujiang WWTP operational efficiency scenario.,"Efficiency improvement of wastewater treatment plants under the background of double carbon: a case study in Jiujiang city, China",https://doi.org/10.3389/fenvs.2024.1331092 ; https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2024.1331092/full,"Frontiers abstract lines 360-365: operational costs could be reduced by 0.42-1.04 RMB/m3, 35%-57%; Scenario 2 cost reduction 0.43-1.31 RMB/m3.",2024,2024,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",R63_WWTP_JIUJIANG_2024_SCENARIO3_COST_SAVING,47-candidate
Taihu net-pen removal direct compensation,23912.0,23912.0,RMB/mu,,"Taihu waters within Suzhou administrative area, China",6912 RMB/mu + 6500 RMB/mu-year x 2 years + 4000 RMB/mu = 23912 RMB/mu direct compensation; equivalent to 358680 RMB/ha before rewards and livelihood subsidy.,"Official compensation formula: 6,912 + 6,500 x 2 + 4,000 = 23,912 RMB/mu. Conditional rewards and livelihood subsidy are separate.",关于太湖围网拆除补偿方案的公告（苏府公〔2018〕4号）,https://www.suzhou.gov.cn/szsrmzf/zfwj/201805/LQJZ9KC3GM25LQRTJA6R74K02KZKWB9M.shtml,"Lines 79-98: compensation policy; lines 87-93 list 6912 RMB/mu, 6500 RMB/mu-year for two years, and 4000 RMB/mu aquaculture facility compensation.",2018,2018,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",R63_TAIHU_2018_NET_PEN_COMP_DIRECT,47-candidate
Elk/Beaver Lake annual O&M cost,100000.0,150000.0,CAD/year annual maintenance,,Canada (Elk/Beaver Lake),"CAD 100,000–150,000 per year",Annual operation and maintenance cost range for the Elk/Beaver Lake case.,Collaborative valuation of ecosystem services to inform lake remediation,https://doi.org/10.1016/j.envsci.2023.103595,"Table 5 reports CAD 100,000–150,000 annual maintenance for oxygenation.",2023,2023,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",OLD_D0042,47-candidate
