Evidence_ID,Source_row,Reference_ID,Parameter_Category,Parameter_Name,Symbol,Polymer_Type,Particle_Shape,Size_Class_um,Original_Value_Mean,Original_Value_Min,Original_Value_Max,Original_Unit,Standardized_value,Standardized_min,Standardized_max,Standardized_unit,Derivation_Method,Notes,Original_parameter_name,Source_title,Source_URL,Source_Location_extra_field,Decision,Decision_reason,Corrected_source_value,Corrected_source_unit,Transformation_or_correction,Record_role,Evidence_scope,Verification_detail,Source_locator_or_extracted_note,Use_limit,Parameter_type,Prior_verification_note
BOX-0014,15,Besseling_2017,Hydrology,Chezy coefficient,Chezy,NA,NA,NA,40,NA,NA,m^0.5/s,40,NA,NA,m^0.5/s,Calibrated,Dommel river calibrated; Brouwer 2012; Table S5,Chezy coefficient,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",40,m^0.5/s,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.24, Table S5.",Dommel river calibrated; Brouwer 2012; Table S5,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0016,17,Besseling_2017,Hydrology,Fraction water in sediment,F_aqsed,NA,NA,NA,0.7,NA,NA,-,0.7,NA,NA,-,Empirical,Table S5; MacLeod et al. 2002,Fraction water in sediment,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.7,-,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.24, Table S5.",Table S5; MacLeod et al. 2002,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0017,18,Besseling_2017,Settling,Attachment efficiency heteroaggregation (default),alpha_het,Mixed,Sphere,0.1-10000,0.01,0,1,-,0.01,0,1,-,Calibrated,Default value covering freshwater data; scenarios 0-1; Table S5,Attachment efficiency heteroaggregation (default),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.01,-,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.24, Table S5.",Default value covering freshwater data; scenarios 0-1; Table S5,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0018,19,Besseling_2017,Settling,Attachment efficiency heteroaggregation (70nm PS + kaolin),alpha_het,PS,Sphere,0.07,0.038,0.004,0.07,-,0.038,0.004,0.07,-,Empirical,70nm PS + kaolin clay; DLS+spectrophotometry average; Table S6,Attachment efficiency heteroaggregation (70nm PS + kaolin),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.038,-,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.28, Table S6.",70nm PS + kaolin clay; DLS+spectrophotometry average; Table S6,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source-reported experimental or physical parameter,"The PS/clay combination, size class and reported attachment-efficiency summary match Table S6."
BOX-0019,20,Besseling_2017,Settling,Attachment efficiency heteroaggregation (70nm PS + bentonite),alpha_het,PS,Sphere,0.07,0.107,0.09,0.145,-,0.107,0.09,0.145,-,Empirical,70nm PS + bentonite clay; Table S6,Attachment efficiency heteroaggregation (70nm PS + bentonite),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.107,-,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.28, Table S6.",70nm PS + bentonite clay; Table S6,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source-reported experimental or physical parameter,"The PS/clay combination, size class and reported attachment-efficiency summary match Table S6."
BOX-0020,21,Besseling_2017,Settling,Attachment efficiency heteroaggregation (1050nm PS + bentonite),alpha_het,PS,Sphere,1.05,0.089,0.06,0.2,-,0.089,0.06,0.2,-,Empirical,1050nm PS + bentonite clay; overall experimental range 0.004-0.2; Table S6,Attachment efficiency heteroaggregation (1050nm PS + bentonite),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.089,-,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.28, Table S6.",1050nm PS + bentonite clay; overall experimental range 0.004-0.2; Table S6,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source-reported experimental or physical parameter,"The PS/clay combination, size class and reported attachment-efficiency summary match Table S6."
BOX-0021,22,Besseling_2017,Settling,Attachment efficiency homoaggregation (default),alpha_hom,Mixed,Sphere,0.1-10000,0.01,0,1,-,0.01,0,1,-,Calibrated,Default value; Table S5,Attachment efficiency homoaggregation (default),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.01,-,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.24, Table S5.",Default value; Table S5,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0022,23,Besseling_2017,Settling,Polymer density (default average),rho_p,Mixed,Sphere,0.1-10000,1040,NA,NA,kg/m3,1040,NA,NA,kg/m3,Empirical,Avg of yearly produced plastics; Andrady 2011; Section 2.3.5,Polymer density (default average),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1040,kg/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Avg of yearly produced plastics; Andrady 2011; Section 2.3.5,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0023,24,Besseling_2017,Settling,Polymer density (scenario range low),rho_p_min,PE,Sphere,0.1-10000,1000,NA,NA,kg/m3,1000,NA,NA,kg/m3,Empirical,Low density PE/PP representing non-settling plastic; Section 2.3.5,Polymer density (scenario range low),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1000,kg/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Low density PE/PP representing non-settling plastic; Section 2.3.5,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0024,25,Besseling_2017,Settling,Polymer density (scenario range high),rho_p_max,PET/PVC,Sphere,0.1-10000,1500,NA,NA,kg/m3,1500,NA,NA,kg/m3,Empirical,Dense polymers PET/PVC; Section 2.3.5; Fig. S2 refs 1400 kg/m3 for PET/PVC,Polymer density (scenario range high),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1500,kg/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Dense polymers PET/PVC; Section 2.3.5; Fig. S2 refs 1400 kg/m3 for PET/PVC,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0025,26,Besseling_2017,Settling,Polymer density (scenario high - PET/PVC),rho_p,PET/PVC,Sphere,0.1-10000,1400,NA,NA,kg/m3,1400,NA,NA,kg/m3,Empirical,Fig. S2 scenario; PET and PVC representative density,Polymer density (scenario high - PET/PVC),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1400,kg/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Fig. S2 scenario; PET and PVC representative density,Study-specific; do not pool as a universal lake coefficient or treat model outputs/bookkeeping as independent observations.,model_default_or_scenario,
BOX-0026,27,Besseling_2017,Settling,Stokes settling velocity (0.1 um particle),v_s,Mixed,Sphere,0.1,1.960E-10,NA,NA,m/s,1.6934E-05,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (0.1 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1.960E-10,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0027,28,Besseling_2017,Settling,Stokes settling velocity (0.2 um particle),v_s,Mixed,Sphere,0.2,7.830E-10,NA,NA,m/s,6.7651E-05,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (0.2 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",7.830E-10,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0028,29,Besseling_2017,Settling,Stokes settling velocity (0.5 um particle),v_s,Mixed,Sphere,0.5,4.890E-09,NA,NA,m/s,4.2250E-04,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (0.5 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",4.890E-09,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0029,30,Besseling_2017,Settling,Stokes settling velocity (1.0 um particle),v_s,Mixed,Sphere,1.0,1.960E-08,NA,NA,m/s,1.6934E-03,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (1.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1.960E-08,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0030,31,Besseling_2017,Settling,Stokes settling velocity (2.0 um particle),v_s,Mixed,Sphere,2.0,7.830E-08,NA,NA,m/s,6.7651E-03,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (2.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",7.830E-08,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0031,32,Besseling_2017,Settling,Stokes settling velocity (5.0 um particle),v_s,Mixed,Sphere,5.0,4.890E-07,NA,NA,m/s,4.2250E-02,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (5.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",4.890E-07,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0032,33,Besseling_2017,Settling,Stokes settling velocity (10.0 um particle),v_s,Mixed,Sphere,10.0,1.960E-06,NA,NA,m/s,1.6934E-01,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (10.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1.960E-06,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
