Source_lake_row,Lake_lon,Lake_lat,OSM_locations_25km,Nearest_OSM_km,Nearest_OSM_lon,Nearest_OSM_lat,Nearest_OSM_name,Nearest_OSM_tags,OSM_source_region
1274,-72.696875,-45.326006,18,7.852017,-72.7088198,-45.3961529,Muelle Primes,"landuse=aquaculture, name=Muelle Primes",south-america
1275,-73.865785,-45.428186,14,4.660629,-73.9251838,-45.4312382,"Centro ""Darwin 2"" - Marine Harvest","aquaculture=fish, email=centro.darwin2@marineharvest.com, landuse=aquaculture, name=Centro ""Darwin 2"" - Marine Harvest, name:es=Centro ""Darwin 2"" - Marine Harvest, phone=+5628821667, website=http://www.marineharvest.com",south-america
1276,-73.263285,-45.49863,20,14.385795,-73.3156946,-45.37456232,NA,"landuse=aquaculture, source=Bing",south-america
1277,-72.629997,-45.505937,18,13.670956,-72.7088198,-45.3961529,Muelle Primes,"landuse=aquaculture, name=Muelle Primes",south-america
1278,-72.970198,-45.506893,25,6.210135,-72.97661536,-45.45119956,NA,"landuse=aquaculture, source=Bing",south-america
1279,-73.581046,-45.513319,18,8.031959,-73.4932208,-45.475803,Centro Costa-Australis Mar S.a,"landuse=aquaculture, name=Centro Costa-Australis Mar S.a",south-america
1280,-73.265625,-45.538956,14,10.282989,-73.3011255,-45.6280548,"Centro ""Quitralco 6"" - Marine Harvest","aquaculture=fish, email=centro.quitralco6@marineharvest.com, landuse=aquaculture, name=Centro ""Quitralco 6"" - Marine Harvest, phone=+56228821668, website=http://www.marineharvest.com",south-america
1281,-72.558835,-45.54989,3,20.724305,-72.7088198,-45.3961529,Muelle Primes,"landuse=aquaculture, name=Muelle Primes",south-america
1283,-73.746339,-45.609118,18,7.950037,-73.84098398,-45.58262648,NA,"landuse=aquaculture, source=Bing",south-america
1285,-74.198958,-45.623672,20,4.408773,-74.1835085,-45.66183012,NA,"landuse=aquaculture, source=Bing",south-america
1286,-74.420975,-45.637775,20,4.289105,-74.47260378,-45.65111046,NA,"landuse=aquaculture, produce=fish",south-america
1289,-73.002003,-45.701703,3,17.724522,-73.22445652,-45.6682232,NA,"landuse=aquaculture, source=Bing",south-america
1291,-73.036756,-45.733447,3,16.316873,-73.22445652,-45.6682232,NA,"landuse=aquaculture, source=Bing",south-america
1292,-73.101042,-45.74248,5,12.668186,-73.22445652,-45.6682232,NA,"landuse=aquaculture, source=Bing",south-america
1298,-74.486021,-46.020295,6,12.645737,-74.4867044,-45.9065248,Walker 2- Invermar,"landuse=aquaculture, name=Walker 2- Invermar",south-america
1300,-74.340469,-46.104814,2,24.780259,-74.4867044,-45.9065248,Walker 2- Invermar,"landuse=aquaculture, name=Walker 2- Invermar",south-america
1301,-73.587772,-46.12349,5,6.822114,-73.49952034,-46.12461344,NA,"landuse=aquaculture, source=Bing",south-america
1319,-73.52409,-46.432197,2,14.165929,-73.61338716,-46.3207485,NA,"landuse=aquaculture, source=Bing",south-america
1321,-73.592708,-46.488061,1,18.666182,-73.61338716,-46.3207485,NA,"landuse=aquaculture, source=Bing",south-america
1800,-73.522917,-51.638332,1,24.391879,-73.5378751,-51.8573634,Centro Taraba 2 - Multi-x,"landuse=aquaculture, name=Centro Taraba 2 - Multi-x",south-america
1801,-73.531226,-51.664558,1,21.456981,-73.5378751,-51.8573634,Centro Taraba 2 - Multi-x,"landuse=aquaculture, name=Centro Taraba 2 - Multi-x",south-america
1809,-73.837651,-51.779021,1,22.433963,-73.5378751,-51.8573634,Centro Taraba 2 - Multi-x,"landuse=aquaculture, name=Centro Taraba 2 - Multi-x",south-america
1812,-73.47713,-51.799079,2,7.719611,-73.5378751,-51.8573634,Centro Taraba 2 - Multi-x,"landuse=aquaculture, name=Centro Taraba 2 - Multi-x",south-america
1836,-73.189676,-51.956294,1,20.236728,-73.4669623,-51.8955541,Centro Taraba 4 - Multi X,"landuse=aquaculture, name=Centro Taraba 4 - Multi X",south-america
2094,-64.752076,-30.768757,2,7.070598,-64.68943954,-30.734979,NA,"landuse=aquaculture, produce=fish, shop=seafood",south-america
2098,-68.652198,-31.472731,1,4.165961,-68.63875872,-31.50849509,Parque de la Biodiversidad,"landuse=aquaculture, name=Parque de la Biodiversidad, produce=fish",south-america
2614,-64.547917,-30.856849,2,19.090421,-64.68769628,-30.73400757,NA,"landuse=aquaculture, produce=fish, shop=seafood",south-america
2646,-65.034019,-31.86875,1,8.622135,-64.94552628,-31.85025471,Granja de Truchas Don Clemente,"aquaculture=fish, landuse=aquaculture, name=Granja de Truchas Don Clemente, produce=trout",south-america
3112,-54.594792,-25.405427,1,15.924631,-54.58591952,-25.54895122,cultivo de peixes ornamentais,"landuse=aquaculture, name=cultivo de peixes ornamentais, source=ucap",south-america
3115,-49.732019,-23.131401,1,17.926051,-49.86386108,-23.02499907,NA,"landuse=aquaculture, operator=Pesqueiro Alvorada",south-america
3129,-54.631688,-25.457823,1,11.094403,-54.58591952,-25.54895122,cultivo de peixes ornamentais,"landuse=aquaculture, name=cultivo de peixes ornamentais, source=ucap",south-america
3163,-49.994792,-22.900808,1,19.220819,-49.86386108,-23.02499907,NA,"landuse=aquaculture, operator=Pesqueiro Alvorada",south-america
3212,-49.020126,-28.571055,1,10.254669,-48.94734424,-28.63765566,Piscicultura C.R.E.I.A,"aquaculture=fish, landuse=aquaculture, name=Piscicultura C.R.E.I.A",south-america
3248,-53.751104,-29.508883,1,20.945838,-53.64321386,-29.6726377,Psicultura Bela Vista,"landuse=aquaculture, name=Psicultura Bela Vista, shop=seafood",south-america
3251,-54.397692,-29.705474,1,24.764851,-54.2164658,-29.54785205,Açude,"landuse=aquaculture, name=Açude",south-america
3394,-46.443544,-22.952088,1,23.454586,-46.45100626,-23.16376486,Pesqueiro Monte Fuji,"landuse=aquaculture, name=Pesqueiro Monte Fuji",south-america
3395,-46.392083,-23.174141,1,6.141873,-46.45100626,-23.16376486,Pesqueiro Monte Fuji,"landuse=aquaculture, name=Pesqueiro Monte Fuji",south-america
3400,-46.196861,-23.627325,1,23.436087,-46.40205921,-23.72250645,Pesqueiro Tropical,"landuse=aquaculture, name=Pesqueiro Tropical",south-america
3401,-46.726966,-23.673676,3,8.919876,-46.81343881,-23.68567024,Pesqueiro Itapecerica,"landuse=aquaculture, name=Pesqueiro Itapecerica, produce=fish",south-america
3402,-46.676824,-23.7069,3,14.130227,-46.81343881,-23.68567024,Pesqueiro Itapecerica,"landuse=aquaculture, name=Pesqueiro Itapecerica, produce=fish",south-america
3403,-48.428329,-27.525605,1,20.899639,-48.54485472,-27.68306886,Laboratório de Piscicultura de Água Doce,"landuse=aquaculture, name=Laboratório de Piscicultura de Água Doce, operator=Fazenda Experimental da Ressacada, operator:short=FER/CCA/UFSC, operator:type=university, produce=fish;peixes;pesquisa, short_name=LAPAD",south-america
3404,-48.857703,-28.605007,1,9.483624,-48.94734424,-28.63765566,Piscicultura C.R.E.I.A,"aquaculture=fish, landuse=aquaculture, name=Piscicultura C.R.E.I.A",south-america
3405,-47.395033,-22.836178,2,18.989008,-47.21227289,-22.86285829,Pesqueiro Cancian,"landuse=aquaculture, name=Pesqueiro Cancian, produce=fish",south-america
3407,-46.318385,-23.047917,1,18.686354,-46.45100626,-23.16376486,Pesqueiro Monte Fuji,"landuse=aquaculture, name=Pesqueiro Monte Fuji",south-america
3409,-46.306115,-23.142503,1,15.023483,-46.45100626,-23.16376486,Pesqueiro Monte Fuji,"landuse=aquaculture, name=Pesqueiro Monte Fuji",south-america
3414,-46.277104,-23.573535,2,20.499778,-46.47322522,-23.53388404,Banho e Tosa,"addr:city=São Paulo, addr:housenumber=4, addr:street=Passagem 10, addr:suburb=Parque Paineiras, landuse=aquaculture, name=Banho e Tosa, operator=Bom Pra Cachorro",south-america
3416,-46.961465,-23.715745,2,13.383678,-46.84493022,-23.77137752,NA,"landuse=aquaculture, produce=peixe",south-america
3418,-46.470027,-23.857686,2,14.375544,-46.50138603,-23.73113853,Viveiro Municipal,"landuse=aquaculture, name=Viveiro Municipal",south-america
3427,-48.516433,-27.736741,1,6.575098,-48.54485472,-27.68306886,Laboratório de Piscicultura de Água Doce,"landuse=aquaculture, name=Laboratório de Piscicultura de Água Doce, operator=Fazenda Experimental da Ressacada, operator:short=FER/CCA/UFSC, operator:type=university, produce=fish;peixes;pesquisa, short_name=LAPAD",south-america
3428,-48.649843,-27.950252,1,8.76244,-48.61628798,-28.02349657,Rancho de Pesca Coletivo,"landuse=aquaculture, name=Rancho de Pesca Coletivo, operator=Secretaria de Pesca e Agricultura de Garopaba, produce=fish",south-america
3429,-48.642708,-28.067978,1,5.571987,-48.61628798,-28.02349657,Rancho de Pesca Coletivo,"landuse=aquaculture, name=Rancho de Pesca Coletivo, operator=Secretaria de Pesca e Agricultura de Garopaba, produce=fish",south-america
3430,-48.882295,-28.504996,1,16.020856,-48.94734424,-28.63765566,Piscicultura C.R.E.I.A,"aquaculture=fish, landuse=aquaculture, name=Piscicultura C.R.E.I.A",south-america
3431,-48.842003,-28.558468,1,13.534828,-48.94734424,-28.63765566,Piscicultura C.R.E.I.A,"aquaculture=fish, landuse=aquaculture, name=Piscicultura C.R.E.I.A",south-america
3432,-48.91596,-28.566991,1,8.411813,-48.94734424,-28.63765566,Piscicultura C.R.E.I.A,"aquaculture=fish, landuse=aquaculture, name=Piscicultura C.R.E.I.A",south-america
3440,-43.093392,-22.950134,3,2.703016,-43.1108426,-22.9318438,Fazenda Marinha de Mexilhões Jurujuba,"aquaculture=mussels, landuse=aquaculture, name=Fazenda Marinha de Mexilhões Jurujuba",south-america
3444,-43.042708,-22.964111,3,7.848646,-43.1108426,-22.9318438,Fazenda Marinha de Mexilhões Jurujuba,"aquaculture=mussels, landuse=aquaculture, name=Fazenda Marinha de Mexilhões Jurujuba",south-america
3445,-43.374518,-22.979334,1,16.640686,-43.22651417,-22.91776094,Horta do Thomaz,"landuse=aquaculture, name=Horta do Thomaz",south-america
3446,-43.214861,-22.979428,3,6.933006,-43.22651417,-22.91776094,Horta do Thomaz,"landuse=aquaculture, name=Horta do Thomaz",south-america
3447,-43.314534,-23.000633,3,12.872799,-43.22651417,-22.91776094,Horta do Thomaz,"landuse=aquaculture, name=Horta do Thomaz",south-america
3601,29.24351,-28.760109,14,21.062097,29.1962228,-28.94552676,NA,"landuse=aquaculture, produce=fish, water=fishpond",africa
3694,28.369792,-25.623764,1,23.447702,28.49769356,-25.80088478,Kleinskuur Boerdery Aquaponics,"addr:city=Rayton, addr:housenumber=Plot 65, addr:postcode=1001, addr:street=Kleinfontein Road, description=Aquaponic Farming with Fish and Vegetables Aquaponic Training Building & Supplying of the best Aquaponic systems, email=sales@ksba.co.za, landuse=aquaculture, name=Kleinskuur Boerdery Aquaponics, operator=Annemarie & Colin Bremner, produce=fish;vegetables, source=www.ksba.co.za",africa
3697,28.50697,-25.652131,1,16.505782,28.49769356,-25.80088478,Kleinskuur Boerdery Aquaponics,"addr:city=Rayton, addr:housenumber=Plot 65, addr:postcode=1001, addr:street=Kleinfontein Road, description=Aquaponic Farming with Fish and Vegetables Aquaponic Training Building & Supplying of the best Aquaponic systems, email=sales@ksba.co.za, landuse=aquaculture, name=Kleinskuur Boerdery Aquaponics, operator=Annemarie & Colin Bremner, produce=fish;vegetables, source=www.ksba.co.za",africa
3708,28.266167,-25.876491,1,24.676527,28.49769356,-25.80088478,Kleinskuur Boerdery Aquaponics,"addr:city=Rayton, addr:housenumber=Plot 65, addr:postcode=1001, addr:street=Kleinfontein Road, description=Aquaponic Farming with Fish and Vegetables Aquaponic Training Building & Supplying of the best Aquaponic systems, email=sales@ksba.co.za, landuse=aquaculture, name=Kleinskuur Boerdery Aquaponics, operator=Annemarie & Colin Bremner, produce=fish;vegetables, source=www.ksba.co.za",africa
3710,28.719792,-25.889975,1,24.354578,28.49769356,-25.80088478,Kleinskuur Boerdery Aquaponics,"addr:city=Rayton, addr:housenumber=Plot 65, addr:postcode=1001, addr:street=Kleinfontein Road, description=Aquaponic Farming with Fish and Vegetables Aquaponic Training Building & Supplying of the best Aquaponic systems, email=sales@ksba.co.za, landuse=aquaculture, name=Kleinskuur Boerdery Aquaponics, operator=Annemarie & Colin Bremner, produce=fish;vegetables, source=www.ksba.co.za",africa
3848,29.293441,-28.765648,14,22.078279,29.1962228,-28.94552676,NA,"landuse=aquaculture, produce=fish, water=fishpond",africa
3850,31.981136,-28.84375,1,23.891516,31.76771781,-28.94954958,Zini Fish Farm,"landuse=aquaculture, name=Zini Fish Farm",africa
3870,31.042112,-29.599098,1,13.220364,31.16963114,-29.55667013,Crocodile Farm,"landuse=aquaculture, name=Crocodile Farm, tourism=attraction",africa
4214,115.83125,-32.147917,1,12.530983,115.9634995,-32.13746596,Huon Aquaculture,"addr:housenumber=13, addr:postcode=6112, addr:state=WA, addr:street=Cartwright Drive, addr:suburb=Forrestdale, email=huonaqua@huonaqua.com.au, landuse=aquaculture, name=Huon Aquaculture, produce=fish;live_animal, source=microsoft/BuildingFootprints, website=https://www.huonaqua.com.au/, wikidata=Q18165919, wikipedia=en:Huon Aquaculture",australia-oceania
4215,116.128824,-32.152641,1,15.687896,115.9634995,-32.13746596,Huon Aquaculture,"addr:housenumber=13, addr:postcode=6112, addr:state=WA, addr:street=Cartwright Drive, addr:suburb=Forrestdale, email=huonaqua@huonaqua.com.au, landuse=aquaculture, name=Huon Aquaculture, produce=fish;live_animal, source=microsoft/BuildingFootprints, website=https://www.huonaqua.com.au/, wikidata=Q18165919, wikipedia=en:Huon Aquaculture",australia-oceania
4216,115.938297,-32.153564,1,2.973217,115.9634995,-32.13746596,Huon Aquaculture,"addr:housenumber=13, addr:postcode=6112, addr:state=WA, addr:street=Cartwright Drive, addr:suburb=Forrestdale, email=huonaqua@huonaqua.com.au, landuse=aquaculture, name=Huon Aquaculture, produce=fish;live_animal, source=microsoft/BuildingFootprints, website=https://www.huonaqua.com.au/, wikidata=Q18165919, wikipedia=en:Huon Aquaculture",australia-oceania
4224,116.065137,-32.202662,1,12.006808,115.9634995,-32.13746596,Huon Aquaculture,"addr:housenumber=13, addr:postcode=6112, addr:state=WA, addr:street=Cartwright Drive, addr:suburb=Forrestdale, email=huonaqua@huonaqua.com.au, landuse=aquaculture, name=Huon Aquaculture, produce=fish;live_animal, source=microsoft/BuildingFootprints, website=https://www.huonaqua.com.au/, wikidata=Q18165919, wikipedia=en:Huon Aquaculture",australia-oceania
4232,115.793021,-32.296249,1,23.839106,115.9634995,-32.13746596,Huon Aquaculture,"addr:housenumber=13, addr:postcode=6112, addr:state=WA, addr:street=Cartwright Drive, addr:suburb=Forrestdale, email=huonaqua@huonaqua.com.au, landuse=aquaculture, name=Huon Aquaculture, produce=fish;live_animal, source=microsoft/BuildingFootprints, website=https://www.huonaqua.com.au/, wikidata=Q18165919, wikipedia=en:Huon Aquaculture",australia-oceania
4580,145.935902,-38.01808,1,13.51644,145.9700855,-37.89935131,Alpine Trout Farm,"landuse=aquaculture, name=Alpine Trout Farm, phone=+61 3 5628 9584, source=survey, website=https://www.alpinetroutfarm.com.au/",australia-oceania
4653,146.843214,-42.609549,2,7.91281,146.8091207,-42.67618528,NA,"landuse=aquaculture, produce=trout",australia-oceania
4977,135.414583,-34.34375,8,23.232214,135.3839387,-34.55163604,NA,"landuse=aquaculture, produce=oysters",australia-oceania
5557,137.635318,-32.951953,1,13.235433,137.5161306,-33.01638836,NA,"landuse=aquaculture, produce=Kingfish",australia-oceania
5588,142.020391,-34.031986,1,11.200588,141.9233585,-33.97144414,Ishwinroo,"landuse=aquaculture, name=Ishwinroo, produce=Murray_Cod;Bait_Yabbies",australia-oceania
5619,135.494792,-34.550575,14,6.55035,135.4880194,-34.60935656,NA,"landuse=aquaculture, produce=oysters",australia-oceania
5646,148.252083,-35.403764,2,1.796875,148.2462137,-35.3882978,Snowy Mountains Trout Farm,"landuse=aquaculture, name=Snowy Mountains Trout Farm",australia-oceania
5647,148.302079,-35.627088,1,18.281194,148.1444086,-35.5243465,Aug block,"landuse=aquaculture, name=Aug block, operator=Dept of education, source=Bing",australia-oceania
5654,148.30743,-35.564605,2,15.44276,148.1444086,-35.5243465,Aug block,"landuse=aquaculture, name=Aug block, operator=Dept of education, source=Bing",australia-oceania
5669,147.785417,-42.214583,2,24.937315,148.0803116,-42.1665222,NA,"landuse=aquaculture, produce=abalone",australia-oceania
5692,152.796218,-31.633671,1,3.187464,152.8264383,-31.6462387,Camden Haven Oyster Farm & Hatchery,"aquaculture=oysters, landuse=aquaculture, name=Camden Haven Oyster Farm & Hatchery, produce=oysters",australia-oceania
5693,152.779898,-31.677232,1,5.593897,152.8264383,-31.6462387,Camden Haven Oyster Farm & Hatchery,"aquaculture=oysters, landuse=aquaculture, name=Camden Haven Oyster Farm & Hatchery, produce=oysters",australia-oceania
5714,152.235968,-25.027415,1,21.564422,152.3529491,-24.86455744,Aquapets,"landuse=aquaculture, name=Aquapets",australia-oceania
5736,153.179467,-27.528965,4,20.397024,153.2660566,-27.69609074,NA,"aquaculture=prawns, landuse=aquaculture, source=Bing",australia-oceania
5740,153.355175,-27.899365,4,23.041054,153.2664389,-27.70699791,NA,"aquaculture=prawns, landuse=aquaculture, source=Bing",australia-oceania
5745,153.285458,-28.052162,1,24.542539,153.0496528,-27.97967893,Australian Sweetwater Crays,"addr:housenumber=4096, addr:street=Beaudesert - Nerang Road, landuse=aquaculture, name=Australian Sweetwater Crays, opening_hours=Sa 09:00-12:00, phone=+61 429 990 826, produce=live_animal;crayfish, website=https://www.sweetwatercrays.com.au/",australia-oceania
5776,152.936458,-31.326652,1,10.683323,152.882412,-31.41111279,NA,"landuse=aquaculture, produce=oysters",australia-oceania
5779,152.858802,-31.521161,2,12.406465,152.882412,-31.41111279,NA,"landuse=aquaculture, produce=oysters",australia-oceania
5833,176.060417,-38.690273,1,7.591971,176.1007995,-38.62965344,Huka Prawn Park,"landuse=aquaculture, name=Huka Prawn Park, ref:linz:topo50_id=2333066, tourism=attraction, wikidata=Q5935370",australia-oceania
5834,172.377437,-43.854805,1,7.750232,172.2843318,-43.87290812,New Zealand King Salmon Tentburn Hatchery,"aquaculture=fish, description=smolt facility (fish farm), landuse=aquaculture, name=New Zealand King Salmon Tentburn Hatchery, operator=New Zealand King Salmon, produce=salmon, website=https://www.kingsalmon.co.nz/freshwater",australia-oceania
5835,170.14683,-44.188092,21,11.268046,170.2325791,-44.1076456,NA,"landuse=aquaculture, produce=salmon, ref:linz:topo50_id=6068725, seamark:type=marine_farm",australia-oceania
5858,170.481376,-44.004564,11,21.825958,170.2397829,-44.09524556,NA,"landuse=aquaculture, produce=salmon, ref:linz:topo50_id=6068717, seamark:type=marine_farm",australia-oceania
5859,169.937921,-44.281874,10,7.373078,170.0208854,-44.25273902,NA,"landuse=aquaculture, produce=salmon, ref:linz:topo50_id=7749105, seamark:type=marine_farm",australia-oceania
